A,B,C,D,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,Mai und im Jahr 2025 (Januar - Mai),...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,Row,Region,Name
NA,dav.,T01,Naturpark Altmühltal 1)2)  .....................................,NA,51,66914,1.2,9748,-8.9,76662,-0.2,135186,-3.4,17181,-5.6,152367,-3.7,237,9716,38.5,2,191512,0.5,31174,-10,222686,-1.1000000000000001,388572,-1.6,61466,-5.7,450038,-2.2000000000000002,27.9,2,NA,dav.,T01,Naturpark Altmühltal 1)2),19,T01,dav.
NA,NA,T02,Fichtelgebirge 3)  ...................................................,NA,53,59112,4.5,5105,1.3,64217,4.2,137915,0.9,10022,-4.4000000000000004,147937,0.5,235,10560,42.5,2.2999999999999998,213096,1.2,21124,-0.1,234220,1.1000000000000001,510104,-0.3,39064,-5.2,549168,-0.6,33.9,2.2999999999999998,NA,NA,T02,Fichtelgebirge 3),20,T02,NA
NA,NA,T03,Fränkische Schweiz,NA,68,45006,1.4,2840,23.8,47846,2.5,111462,2,8169,22,119631,3.1,228,7724,41.6,2.5,129546,-3.1,10074,7.6,139620,-2.4,320476,-1.3,26983,0.7,347459,-1.2,28.6,2.5,NA,NA,T03,Fränkische Schweiz,21,T03,NA
NA,NA,T04,Fränkisches Seenland,NA,45,42544,-7.9,2133,-13.3,44677,-8.1999999999999993,133859,-17.2,4471,-19.2,138330,-17.3,193,6129,35.6,3.1,109026,-4.9000000000000004,9325,-10.8,118351,-5.4,346133,-3.2,18853,-15.7,364986,-4,25.4,3.1,NA,NA,T04,Fränkisches Seenland,22,T04,NA
NA,NA,T05,Fränkisches Weinland,NA,111,134483,8.4,17823,8.3000000000000007,152306,8.4,256157,1.7,31844,8.6999999999999993,288001,2.4,312,15556,48.6,1.9,445211,3.7,63857,3.2,509068,3.6,800860,0.1,108946,1,909806,0.2,34.9,1.8,NA,NA,T05,Fränkisches Weinland,23,T05,NA
NA,NA,T06,Nürnberger Land 4) .........................................................,NA,37,19875,15.8,1975,2.8,21850,14.5,37615,13.5,3485,-7.3,41100,11.4,97,3604,35.5,1.9,72975,2,9647,11.4,82622,3,140188,2.2999999999999998,17840,9.4,158028,3,29.1,1.9,NA,NA,T06,Nürnberger Land 4),24,T06,NA
NA,NA,T07,Frankenwald,NA,45,24417,-3.2,1477,1,25894,-2.9,72681,-7.1,3156,-7.4,75837,-7.1,130,4982,44.2,2.9,85280,0.5,5270,-8.1,90550,-0.1,281454,-1.5,10891,-16.2,292345,-2.1,37.5,3.2,NA,NA,T07,Frankenwald,25,T07,NA
NA,NA,T08,Haßberge,NA,35,11047,-11.6,531,1,11578,-11,30134,-16.8,1092,-41,31226,-18,71,2260,32.1,2.7,33598,-8.8000000000000007,1823,3,35421,-8.1999999999999993,90191,-11.8,5914,-4.8,96105,-11.4,23.8,2.7,NA,NA,T08,Haßberge,26,T08,NA
NA,NA,T10,Rhön,NA,53,55995,-3.7,2142,-49.1,58137,-6.8,254490,-3.4,4712,-56.3,259202,-5.5,200,14232,55.7,4.5,213729,-2.5,7394,-29.4,221123,-3.8,1066598,-1.2,17709,-32.1,1084307,-2,50.4,4.9000000000000004,NA,NA,T10,Rhön,27,T10,NA
NA,NA,T11,Romantisches Franken - vom Naturpark,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T11,Romantisches Franken - vom Naturpark,28,T11,NA
NA,NA,T12,Spessart-Mainland,NA,93,66696,7.1,6403,-1.8,73099,6.2,134285,2.2999999999999998,14009,3.2,148294,2.4,251,9757,40.700000000000003,2,215456,3.2,27145,-5.8,242601,2.1,424312,0.9,58621,-2.2000000000000002,482933,0.5,30.6,2,NA,NA,T12,Spessart-Mainland,30,T12,NA
NA,NA,T13,Städteregion Nürnberg,NA,4,176856,11.9,57043,-11.8,233899,5,320025,11.1,118547,-18.3,438572,1.3,228,29419,47.4,1.9,673801,3.8,273447,-3.7,947248,1.5,1218312,2.5,606311,-6.2,1824623,-0.5,41.1,1.9,NA,NA,T13,Städteregion Nürnberg,31,T13,NA
NA,NA,T14,Steigerwald,NA,86,83971,1.4,11183,-11.1,95154,-0.2,193501,-2.2999999999999998,22139,-10.4,215640,-3.2,263,12781,47.9,2.2999999999999998,287157,0.1,45874,-6.8,333031,-0.9,673882,-1.7,87986,-10.3,761868,-2.8,37.700000000000003,2.2999999999999998,NA,NA,T14,Steigerwald,32,T14,NA
